"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Navigation","1","0","Top nav links","0"
"0","","0","Login","1","0","Empty credentials","0"
"0","","0","Login","1","0","Invalid credentials","0"
"0","","0","Download","1","0","Release listing","0"
"0","","0","Search","1","0","Keyword search","0"
